,daycode,month,holidays,season,weather_type,load,temp,hr_weather_type,cdd,hdd
272,2,10,1,0,1,1.2568097319438842,78,1,13,0
273,3,10,1,0,1,1.3933086534120482,80,1,15,0
274,4,10,1,0,1,1.8011803846514889,85,5,20,0
275,5,10,1,0,1,1.860136254767604,86,5,21,0
276,6,10,1,0,1,1.8280521028984085,85,5,20,0
277,0,10,1,0,1,1.8510331372694566,79,1,14,0
278,1,10,1,0,1,1.1460073659356589,73,1,8,0
279,2,10,1,0,2,1.061051321004764,71,1,6,0
280,3,10,1,0,1,1.2300410814296217,76,1,11,0
281,4,10,1,0,1,1.2933066638777226,77,1,12,0
282,5,10,1,0,1,1.2109499029937647,77,1,12,0
283,6,10,1,0,1,1.6411907116394324,82,4,17,0
284,0,10,1,0,1,1.2905436557924732,72,1,7,0
285,1,10,1,0,2,1.1260774513582923,72,1,7,0
286,2,10,1,0,2,0.9823606763870208,74,1,9,0
287,3,10,1,0,2,0.9266526381852168,73,1,8,0
288,4,10,1,0,2,0.9983803539593012,74,1,9,0
289,5,10,1,0,2,0.8316812391689304,63,2,0,0
290,6,10,1,0,0,0.8791525567593891,59,0,0,1
291,0,10,1,0,0,1.0345969862145583,65,2,0,0
292,1,10,1,0,2,0.9658695465066386,72,1,7,0
293,2,10,1,0,1,0.9977331232967402,73,1,8,0
294,3,11,1,0,1,1.2390106716798492,79,1,14,0
295,4,11,1,0,1,1.4829083516137789,81,4,16,0
296,5,11,1,0,1,1.422445091959443,81,4,16,0
297,6,11,1,0,1,1.4748238364290764,80,1,15,0
298,0,11,1,0,1,1.701794301721714,81,4,16,0
299,1,11,1,0,1,1.7047343983155712,81,4,16,0
300,2,11,1,0,1,1.6475472207387891,81,4,16,0
301,3,11,1,0,2,1.041236374347853,57,0,0,3
302,4,11,1,0,0,0.9500931579309564,61,2,0,0
303,5,11,0,0,0,0.9128118710458,64,2,0,0
304,6,11,1,0,2,1.0473793385728076,67,2,2,0
305,0,11,1,0,2,1.4558697881751899,73,1,8,0
306,1,11,1,0,2,1.2504431929531221,70,2,5,0
307,2,11,1,0,2,1.204602532259804,69,2,4,0
308,3,11,1,0,2,1.2119767349332653,72,1,7,0
309,4,11,1,0,1,1.2006299530690916,72,1,7,0
310,5,11,1,0,1,1.3091971601774848,76,1,11,0
311,6,11,1,0,1,1.1798751273079262,74,1,9,0
312,0,11,1,0,0,1.099659906937538,59,0,0,1
313,1,11,1,0,0,0.9969102301663972,60,0,0,0
314,2,11,1,0,2,1.0119286293334675,70,2,5,0
315,3,11,1,0,2,0.9467352177935456,62,2,0,0
316,4,11,0,0,0,0.7818615231669339,58,0,0,2
317,5,11,1,0,0,0.8539579161697395,62,2,0,0
318,6,11,1,0,2,1.050004208284569,68,2,3,0
319,0,11,1,0,2,1.286725250772946,68,2,3,0
320,1,11,1,0,2,1.1115997995581999,63,2,0,0
321,2,11,1,0,2,1.0916928292739043,67,2,2,0
322,3,11,1,0,2,1.0861840901102957,67,2,2,0
323,4,11,1,0,2,1.0296040674352291,67,2,2,0
324,5,12,1,3,2,0.9675164148101042,66,2,1,0
325,6,12,1,3,2,1.1148983493157687,67,2,2,0
326,0,12,1,3,2,1.2878489974854503,67,2,2,0
327,1,12,1,3,1,1.2616120818868406,71,1,6,0
328,2,12,1,3,2,1.081021167737162,57,0,0,3
329,3,12,1,3,0,1.7266677754948152,43,3,0,17
330,4,12,1,3,0,1.8688218468387847,43,3,0,17
331,5,12,1,3,0,1.963090979276633,40,3,0,20
332,6,12,1,3,0,1.2134865863563375,56,0,0,4
333,0,12,1,3,0,1.38145567643507,57,0,0,3
334,1,12,1,3,0,1.1545078532470427,61,2,0,0
335,2,12,1,3,0,1.2350778922565395,54,0,0,6
336,3,12,1,3,0,1.4445285710339768,53,0,0,7
337,4,12,1,3,0,1.1591336033398882,61,2,0,0
338,5,12,1,3,0,1.3311036864266512,51,0,0,9
339,6,12,1,3,0,1.2743961618765836,55,0,0,5
340,0,12,1,3,0,1.2354992321894434,61,2,0,0
341,1,12,1,3,2,1.1262374932478436,65,2,0,0
342,2,12,1,3,1,1.165481723055311,73,1,8,0
343,3,12,1,3,2,1.146514324160237,69,2,4,0
344,4,12,1,3,2,1.0828870323501043,74,1,9,0
345,5,12,1,3,1,1.2100558306319786,75,1,10,0
346,6,12,0,3,0,1.0919865173712495,51,0,0,9
347,0,12,0,3,0,1.0716914177971897,57,0,0,3
348,1,12,0,3,0,1.1771775552525636,50,3,0,10
349,2,12,1,3,0,1.4222615300159422,50,3,0,10
350,3,12,1,3,0,1.8120264206503116,41,3,0,19
351,4,12,1,3,0,1.7416268352474595,43,3,0,17
352,5,12,1,3,0,1.3231191811884384,51,0,0,9
353,6,12,1,3,0,1.0567573649992494,55,0,0,5
354,0,12,1,3,0,1.5467421170317193,47,3,0,13
